,number,pos_match_num,group_match_num,field_match_num,pos_match_per,group_match_per,field_match_per,datetime_start,datetime_complete,duration,alpha,beta,gamma,k,only_content_feature,top_n_feature,top_n_target,window_size,state
0,0,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 02:50:15.411157,2022-08-03 02:58:06.122834,0 days 00:07:50.711677,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
1,1,8.0,4.0,4.0,0.38095238095238093,0.19047619047619047,0.19047619047619047,2022-08-03 02:58:06.123752,2022-08-03 02:59:50.669676,0 days 00:01:44.545924,0.2,0.6000000000000001,0.6,100,True,3000,500,2,COMPLETE
2,2,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 02:59:50.670630,2022-08-03 03:33:15.861605,0 days 00:33:25.190975,0.6,0.8,0.4,100,False,3000,1000,2,COMPLETE
3,3,442.0,59.0,42.0,0.48253275109170307,0.06441048034934498,0.04585152838427948,2022-08-03 03:33:15.862659,2022-08-03 03:36:09.127539,0 days 00:02:53.264880,0.4,0.4,0.4,100,False,2000,500,3,COMPLETE
4,4,349.0,43.0,18.0,0.3631633714880333,0.044745057232049947,0.018730489073881373,2022-08-03 03:36:09.127821,2022-08-03 03:39:06.051480,0 days 00:02:56.923659,0.6,0.8,0.4,100,True,2000,500,2,COMPLETE
5,5,22.0,7.0,7.0,0.38596491228070173,0.12280701754385964,0.12280701754385964,2022-08-03 03:39:06.051730,2022-08-03 03:42:55.267660,0 days 00:03:49.215930,0.2,0.6000000000000001,0.6,100,False,2000,1000,3,COMPLETE
6,6,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 03:42:55.267903,2022-08-03 03:51:24.774750,0 days 00:08:29.506847,0.4,0.6000000000000001,0.2,100,True,3000,1000,3,COMPLETE
7,7,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 03:51:24.775360,2022-08-03 03:56:22.934474,0 days 00:04:58.159114,0.4,0.6000000000000001,0.6,100,False,3000,1000,2,COMPLETE
8,8,442.0,59.0,42.0,0.48253275109170307,0.06441048034934498,0.04585152838427948,2022-08-03 03:56:22.935250,2022-08-03 03:59:12.094939,0 days 00:02:49.159689,0.4,0.4,0.6,100,False,2000,500,3,COMPLETE
9,9,29.0,9.0,9.0,0.4393939393939394,0.13636363636363635,0.13636363636363635,2022-08-03 03:59:12.095192,2022-08-03 04:03:22.600738,0 days 00:04:10.505546,0.2,0.4,0.6,100,True,3000,1000,3,COMPLETE
10,10,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 04:03:22.600984,2022-08-03 04:40:17.415228,0 days 00:36:54.814244,0.6,0.6000000000000001,0.2,100,False,3000,1000,2,COMPLETE
11,11,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 04:40:17.416392,2022-08-03 04:48:54.125498,0 days 00:08:36.709106,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
12,12,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 04:48:54.125879,2022-08-03 04:53:59.943734,0 days 00:05:05.817855,0.4,0.8,0.6,100,True,3000,1000,2,COMPLETE
13,13,29.0,9.0,9.0,0.4393939393939394,0.13636363636363635,0.13636363636363635,2022-08-03 04:53:59.943982,2022-08-03 04:58:12.211793,0 days 00:04:12.267811,0.2,0.8,0.4,100,True,3000,1000,3,COMPLETE
14,14,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 04:58:12.212033,2022-08-03 05:34:49.031861,0 days 00:36:36.819828,0.6,0.6000000000000001,0.6,100,False,3000,1000,2,COMPLETE
15,15,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 05:34:49.033000,2022-08-03 05:43:19.914484,0 days 00:08:30.881484,0.4,0.8,0.4,100,True,3000,1000,3,COMPLETE
16,16,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 05:43:19.915504,2022-08-03 05:47:06.376272,0 days 00:03:46.460768,0.4,0.6000000000000001,0.2,100,True,2000,500,3,COMPLETE
17,17,7.0,3.0,3.0,0.2916666666666667,0.125,0.125,2022-08-03 05:47:06.376705,2022-08-03 05:51:05.066862,0 days 00:03:58.690157,0.2,0.4,0.6,100,False,3000,1000,2,COMPLETE
18,18,1281.0,123.0,62.0,0.4552238805970149,0.04371002132196162,0.02203269367448472,2022-08-03 05:51:05.072543,2022-08-03 06:11:34.325239,0 days 00:20:29.252696,0.6,0.8,0.6,100,True,3000,1000,3,COMPLETE
19,19,283.0,65.0,37.0,0.5136116152450091,0.11796733212341198,0.06715063520871144,2022-08-03 06:11:34.326047,2022-08-03 06:13:29.879366,0 days 00:01:55.553319,0.4,0.6000000000000001,0.4,100,False,2000,500,2,COMPLETE
20,20,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 06:13:29.879568,2022-08-03 06:22:04.458260,0 days 00:08:34.578692,0.4,0.6000000000000001,0.6,100,True,3000,1000,3,COMPLETE
21,21,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 06:22:04.458570,2022-08-03 06:59:40.350570,0 days 00:37:35.892000,0.6,0.8,0.4,100,True,3000,1000,2,COMPLETE
22,22,1281.0,123.0,62.0,0.45554765291607396,0.043741109530583216,0.022048364153627313,2022-08-03 06:59:40.351553,2022-08-03 07:19:29.081123,0 days 00:19:48.729570,0.6,0.8,0.2,100,False,3000,1000,3,COMPLETE
23,23,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 07:19:29.081974,2022-08-03 07:56:23.500111,0 days 00:36:54.418137,0.6,0.8,0.6,100,True,3000,1000,2,COMPLETE
24,24,29.0,9.0,9.0,0.4393939393939394,0.13636363636363635,0.13636363636363635,2022-08-03 07:56:23.500534,2022-08-03 07:59:59.491258,0 days 00:03:35.990724,0.2,0.8,0.4,100,False,3000,1000,3,COMPLETE
25,25,37.0,4.0,1.0,0.053857350800582245,0.005822416302765648,0.001455604075691412,2022-08-03 07:59:59.491600,2022-08-03 08:04:17.553281,0 days 00:04:18.061681,0.6,0.8,0.6,100,True,2000,500,3,COMPLETE
26,26,7.0,3.0,3.0,0.2916666666666667,0.125,0.125,2022-08-03 08:04:17.553564,2022-08-03 08:08:09.840080,0 days 00:03:52.286516,0.2,0.4,0.2,100,False,3000,1000,2,COMPLETE
27,27,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 08:08:09.840357,2022-08-03 08:16:35.799903,0 days 00:08:25.959546,0.4,0.6000000000000001,0.4,100,True,3000,1000,3,COMPLETE
28,28,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 08:16:35.800974,2022-08-03 08:53:34.533270,0 days 00:36:58.732296,0.6,0.8,0.6,100,True,3000,1000,2,COMPLETE
29,29,8.0,4.0,4.0,0.38095238095238093,0.19047619047619047,0.19047619047619047,2022-08-03 08:53:34.533713,2022-08-03 08:55:26.843479,0 days 00:01:52.309766,0.2,0.8,0.6,100,True,3000,500,2,COMPLETE
30,30,18.0,5.0,5.0,0.3673469387755102,0.10204081632653061,0.10204081632653061,2022-08-03 08:55:26.843808,2022-08-03 08:56:53.089219,0 days 00:01:26.245411,0.2,0.6000000000000001,0.6,100,False,2000,500,3,COMPLETE
31,31,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 08:56:53.089467,2022-08-03 09:01:29.656829,0 days 00:04:36.567362,0.4,0.4,0.6,100,False,3000,1000,2,COMPLETE
32,32,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 09:01:29.657280,2022-08-03 09:05:58.500748,0 days 00:04:28.843468,0.4,0.4,0.4,100,False,3000,1000,2,COMPLETE
